# r=4.000000e+02
# M=2.728000e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
3.975014737756100036e+00 -3.687874657057942790e-02 3.168175784368017833e+00 1.513051611349872864e-04 4.500980463725091224e-03 4.320000000000000000e+02
3.974740595911315566e+00 -3.689673655731596363e-02 4.341196312227251219e+00 1.635743320889515692e-04 5.011020269379783815e-03 4.351999999999999886e+02
3.974466017904414894e+00 -3.690992647184377501e-02 5.514216840086484162e+00 1.725698537972180865e-04 5.521871552906259216e-03 4.383999999999999773e+02
3.974191806770385860e+00 -3.692022619547623979e-02 6.687237367945738420e+00 1.795942653145726818e-04 6.032040270923156970e-03 4.416000000000000227e+02
3.973917955216544229e+00 -3.692925415734014949e-02 7.860257895804972250e+00 1.857513353056492985e-04 6.541539991439400056e-03 4.448000000000000114e+02
3.973644306097630530e+00 -3.693800234766348584e-02 9.033278423664205192e+00 1.917176011060082791e-04 7.050663082581586083e-03 4.480000000000000000e+02
3.973371736673085408e+00 -3.694674395179547294e-02 1.020629895152343813e+01 1.976793751241977932e-04 7.557777406670191343e-03 4.511999999999999886e+02
3.973102749365589936e+00 -3.695520123996535317e-02 1.137931947938267108e+01 2.034472456561322825e-04 8.058227216316150160e-03 4.543999999999999773e+02
3.972840550467938936e+00 -3.696305483645989653e-02 1.255234000724192533e+01 2.088033984650875040e-04 8.546047216600516361e-03 4.576000000000000227e+02
3.972587100102444424e+00 -3.697034849626569530e-02 1.372536053510115828e+01 2.137776744527405200e-04 9.017590607801558023e-03 4.608000000000000114e+02
3.972341775909207229e+00 -3.697741410769626869e-02 1.489838106296039300e+01 2.185964214484963737e-04 9.474015288022549081e-03 4.640000000000000000e+02
3.972101816933248486e+00 -3.698453843333335961e-02 1.607140159081962594e+01 2.234552115331073902e-04 9.920458002957590823e-03 4.671999999999999886e+02
3.971864111135770870e+00 -3.699177941276297205e-02 1.724442211867885888e+01 2.283935595040594230e-04 1.036270868834145500e-02 4.703999999999999773e+02
3.971626898055842236e+00 -3.699903228083123441e-02 1.841744264653811314e+01 2.333400155265663730e-04 1.080404267469650854e-02 4.736000000000000227e+02
3.971390345276641920e+00 -3.700617767028242799e-02 1.959046317439734608e+01 2.382131711322437427e-04 1.124414817418833458e-02 4.768000000000000114e+02
3.971155956546476684e+00 -3.701315380810689393e-02 2.076348370225657902e+01 2.429708971284664446e-04 1.168022746910511202e-02 4.800000000000000000e+02
3.970925440243056492e+00 -3.701993967040060479e-02 2.193650423011581196e+01 2.475988552127334993e-04 1.210910212955353463e-02 4.831999999999999886e+02
3.970699784264818621e+00 -3.702652214997928515e-02 2.310952475797504491e+01 2.520881062854603890e-04 1.252893417444052998e-02 4.863999999999999773e+02
3.970478979125779517e+00 -3.703289401840872269e-02 2.428254528583429916e+01 2.564337205545306770e-04 1.293974125240300067e-02 4.896000000000000227e+02
3.970262310809164585e+00 -3.703906951623899685e-02 2.545556581369353211e+01 2.606454100748351954e-04 1.334285178879130417e-02 4.928000000000000114e+02
3.970048800920749521e+00 -3.704509031369750821e-02 2.662858634155276860e+01 2.647515939413662769e-04 1.374008608214827808e-02 4.960000000000000000e+02
3.969837482951620977e+00 -3.705101475931586036e-02 2.780160686941200154e+01 2.687920658532666983e-04 1.413324231843994527e-02 4.991999999999999886e+02
3.969627528772627922e+00 -3.705689772478807514e-02 2.897462739727123449e+01 2.728042483052954049e-04 1.452386122863962015e-02 5.023999999999999773e+02
3.969418349052635797e+00 -3.706277276247087887e-02 3.014764792513048874e+01 2.768110240047527921e-04 1.491303926096590633e-02 5.056000000000000227e+02
3.969209662108152958e+00 -3.706864729660340474e-02 3.132066845298972169e+01 2.808174562830239424e-04 1.530130048642902064e-02 5.088000000000000114e+02
3.969001456518629567e+00 -3.707451165551455680e-02 3.249368898084895108e+01 2.848169490604957380e-04 1.568866615291493460e-02 5.120000000000000000e+02
3.968793864537473848e+00 -3.708035139233183813e-02 3.366670950870820889e+01 2.887996495701406342e-04 1.607489020348652070e-02 5.152000000000000455e+02
