# r=8.000000e+02
# M=2.700297e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
4.310980212948906320e+00 -3.303750317254719460e-02 -2.018134087659274769e+02 4.477593545569799469e-05 3.461588528772545532e-04 2.820000000000000000e+02
4.310980075002383671e+00 -3.303750543941452039e-02 -2.011171890537995068e+02 4.477746576030560333e-05 3.464103159131464577e-04 2.838799999999999955e+02
4.310979935398451701e+00 -3.303750783536860830e-02 -2.004209693416715652e+02 4.477908320766046734e-05 3.466648002448858190e-04 2.857599999999999909e+02
4.310979794015078248e+00 -3.303751036301318111e-02 -1.997247496295435951e+02 4.478078955586617106e-05 3.469225283251396014e-04 2.876399999999999864e+02
4.310979650741288083e+00 -3.303751302437042681e-02 -1.990285299174156251e+02 4.478258617054794484e-05 3.471837024502339797e-04 2.895199999999999818e+02
4.310979505477018137e+00 -3.303751582092114003e-02 -1.983323102052876834e+02 4.478447405072553717e-05 3.474485050249916996e-04 2.913999999999999773e+02
4.310979358132954964e+00 -3.303751875363892393e-02 -1.976360904931597133e+02 4.478645385342526806e-05 3.477170988587170481e-04 2.932799999999999727e+02
4.310979208630360660e+00 -3.303752182302371887e-02 -1.969398707810317433e+02 4.478852591706756418e-05 3.479896274859225883e-04 2.951599999999999682e+02
4.310979056900873907e+00 -3.303752502913935574e-02 -1.962436510689038016e+02 4.479069028365827339e-05 3.482662155192914485e-04 2.970399999999999636e+02
4.310978902886310138e+00 -3.303752837163848044e-02 -1.955474313567758315e+02 4.479294671981122965e-05 3.485469690256688766e-04 2.989199999999999591e+02
4.310978746538432382e+00 -3.303753184979813656e-02 -1.948512116446478615e+02 4.479529473663301559e-05 3.488319759350086099e-04 3.007999999999999545e+02
4.310978587818718566e+00 -3.303753546254276086e-02 -1.941549919325199198e+02 4.479773360849984649e-05 3.491213064692678036e-04 3.026800000000000068e+02
4.310978426698109267e+00 -3.303753920847379150e-02 -1.934587722203918929e+02 4.480026239076942234e-05 3.494150136026177855e-04 3.045600000000000023e+02
4.310978263156743928e+00 -3.303754308589072070e-02 -1.927625525082639797e+02 4.480287993646278085e-05 3.497131335370364945e-04 3.064399999999999977e+02
4.310978097183687296e+00 -3.303754709282002294e-02 -1.920663327961359812e+02 4.480558491196714316e-05 3.500156862068129590e-04 3.083199999999999932e+02
4.310977928776646095e+00 -3.303755122703033037e-02 -1.913701130840080680e+02 4.480837581179251527e-05 3.503226757945000292e-04 3.101999999999999886e+02
4.310977757941667043e+00 -3.303755548605737807e-02 -1.906738933718800695e+02 4.481125097243375489e-05 3.506340912742647890e-04 3.120799999999999841e+02
4.310977584692839315e+00 -3.303755986722245463e-02 -1.899776736597521563e+02 4.481420858536328439e-05 3.509499069640516352e-04 3.139599999999999795e+02
4.310977409051974796e+00 -3.303756436765014487e-02 -1.892814539476241578e+02 4.481724670920517683e-05 3.512700831042970878e-04 3.158399999999999750e+02
4.310977231048285674e+00 -3.303756898428414357e-02 -1.885852342354962161e+02 4.482036328111031379e-05 3.515945664432163832e-04 3.177199999999999704e+02
4.310977050718050485e+00 -3.303757371390433906e-02 -1.878890145233682460e+02 4.482355612738813966e-05 3.519232908473257952e-04 3.195999999999999659e+02
4.310976868104278381e+00 -3.303757855314259917e-02 -1.871927948112402760e+02 4.482682297341548342e-05 3.522561779156301552e-04 3.214799999999999613e+02
4.310976683256360076e+00 -3.303758349849199305e-02 -1.864965750991123343e+02 4.483016145288508099e-05 3.525931376167596256e-04 3.233599999999999568e+02
4.310976496229712573e+00 -3.303758854632521391e-02 -1.858003553869843358e+02 4.483356911641275816e-05 3.529340689264691931e-04 3.252400000000000091e+02
4.310976307085425674e+00 -3.303759369290244774e-02 -1.851041356748563658e+02 4.483704343956506673e-05 3.532788604856966410e-04 3.271200000000000045e+02
4.310976115889898708e+00 -3.303759893438455025e-02 -1.844079159627284241e+02 4.484058183031824310e-05 3.536273912561023534e-04 3.290000000000000000e+02
4.310975922714470165e+00 -3.303760426684161644e-02 -1.837116962506004541e+02 4.484418163600782903e-05 3.539795311939545252e-04 3.308799999999999955e+02
4.310975727635051769e+00 -3.303760968626346523e-02 -1.830154765384724840e+02 4.484784014977543254e-05 3.543351419186238269e-04 3.327599999999999909e+02
4.310975530731753658e+00 -3.303761518857017965e-02 -1.823192568263445423e+02 4.485155461657658365e-05 3.546940773967177402e-04 3.346399999999999864e+02
4.310975332088515799e+00 -3.303762076961673511e-02 -1.816230371142165723e+02 4.485532223875430592e-05 3.550561846175832349e-04 3.365199999999999818e+02
4.310975131792724291e+00 -3.303762642520349790e-02 -1.809268174020886022e+02 4.485914018124540116e-05 3.554213042815192766e-04 3.383999999999999773e+02
4.310974929934845434e+00 -3.303763215108281720e-02 -1.802305976899606605e+02 4.486300557641870158e-05 3.557892714764905573e-04 3.402799999999999727e+02
4.310974726608049146e+00 -3.303763794296558226e-02 -1.795343779778326905e+02 4.486691552861114129e-05 3.561599163652311899e-04 3.421599999999999682e+02
4.310974521907835921e+00 -3.303764379652651684e-02 -1.788381582657047204e+02 4.487086711835577889e-05 3.565330648587881771e-04 3.440399999999999636e+02
4.310974315931665579e+00 -3.303764970741205481e-02 -1.781419385535767788e+02 4.487485740636931682e-05 3.569085392985929983e-04 3.459199999999999591e+02
